column,unit,format,description
reviewer,,,Initials of the visual inspection reviewer
comment,,,Comment from visual inspection
zrf,,,Redshift used for integrated rest-frame filter
escale,,,
obs_239_valid,,,
obs_239_frac,,,Fraction of wfc_f814w_t81.dat covered by spectrum
obs_239_flux,,,Spectrum flux in wfc_f814w_t81.dat
obs_239_err,,,Spectrum err in wfc_f814w_t81.dat
obs_239_full_err,,,Spectrum err in wfc_f814w_t81.dat
obs_205_valid,,,
obs_205_frac,,,Fraction of f160w.dat covered by spectrum
obs_205_flux,,,Spectrum flux in f160w.dat
obs_205_err,,,Spectrum err in f160w.dat
obs_205_full_err,,,Spectrum err in f160w.dat
obs_362_valid,,,
obs_362_frac,,,Fraction of jwst_nircam_f070w covered by spectrum
obs_362_flux,,,Spectrum flux in jwst_nircam_f070w
obs_362_err,,,Spectrum err in jwst_nircam_f070w
obs_362_full_err,,,Spectrum err in jwst_nircam_f070w
obs_363_valid,,,
obs_363_frac,,,Fraction of jwst_nircam_f090w covered by spectrum
obs_363_flux,,,Spectrum flux in jwst_nircam_f090w
obs_363_err,,,Spectrum err in jwst_nircam_f090w
obs_363_full_err,,,Spectrum err in jwst_nircam_f090w
obs_364_valid,,,
obs_364_frac,,,Fraction of jwst_nircam_f115w covered by spectrum
obs_364_flux,,,Spectrum flux in jwst_nircam_f115w
obs_364_err,,,Spectrum err in jwst_nircam_f115w
obs_364_full_err,,,Spectrum err in jwst_nircam_f115w
obs_365_valid,,,
obs_365_frac,,,Fraction of jwst_nircam_f150w covered by spectrum
obs_365_flux,,,Spectrum flux in jwst_nircam_f150w
obs_365_err,,,Spectrum err in jwst_nircam_f150w
obs_365_full_err,,,Spectrum err in jwst_nircam_f150w
obs_366_valid,,,
obs_366_frac,,,Fraction of jwst_nircam_f200w covered by spectrum
obs_366_flux,,,Spectrum flux in jwst_nircam_f200w
obs_366_err,,,Spectrum err in jwst_nircam_f200w
obs_366_full_err,,,Spectrum err in jwst_nircam_f200w
obs_370_valid,,,
obs_370_frac,,,Fraction of jwst_nircam_f182m covered by spectrum
obs_370_flux,,,Spectrum flux in jwst_nircam_f182m
obs_370_err,,,Spectrum err in jwst_nircam_f182m
obs_370_full_err,,,Spectrum err in jwst_nircam_f182m
obs_371_valid,,,
