specz,flag,Id_COS20_Classic,ra_COS20_Classic,dec_COS20_Classic,Id_COS20_Farmer,ra_COS20_Farmer,dec_COS20_Farmer,Id_COSMOS25,ra_COSMOS25,dec_COSMOS25,Id_COSMOS15
0.75157,4,25708,149.94022179548332,1.4194415658311024,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.70662,4,25918,149.5887310713006,1.4193790182074648,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.58389,4,26186,150.0486301914827,1.4178749152847556,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.64917,4,26233,150.80354986403518,1.419478918735868,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.79868,4,26278,150.26983342293047,1.419636919201709,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.68481,4,26341,150.40693031941785,1.4216971626015944,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.06214,4,26496,150.05138868428145,1.419852277567334,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.79978,4,26502,150.34444593177508,1.420143816636901,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67668,4,26626,150.42016431980016,1.4194977978867767,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.98638,4,27444,149.52105329680907,1.4209488971929227,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.67565,4,27675,150.72091311565984,1.4170762990805426,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.65943,4,27762,150.90407685710235,1.4221714177832327,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.62455,4,28161,150.62417429275024,1.4206847502044568,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.57557,4,28227,151.05844360760253,1.4221442858584767,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.76466,2,28397,149.21891115544815,1.4217461209930802,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.059,4,28402,149.9237041524691,1.4228531757613878,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
1.02136,2,28541,149.59159981180187,1.423456589080466,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
0.77987,4,28573,149.73041261189823,1.4220172867764584,-999,-999.0,-999.0,-999,-999.0,-999.0,-999
